1;28;30;16;9;24;29;24;
18;29;25;10;27;11;13;5;
9;2;13;2;21;21;7;12;
5;8;9;21;24;1;29;3;
24;17;20;18;21;8;18;10;
9;17;23;6;8;13;4;20;
2;23;12;10;6;2;20;15;
2;3;12;29;13;3;19;22;
18;19;10;18;12;19;11;26;
24;29;1;18;10;13;23;28;
29;6;15;24;15;29;30;17;
30;3;2;16;21;25;7;13;
17;21;29;19;2;30;11;8;
2;3;15;12;27;18;12;17;
26;29;2;3;25;26;11;6;
19;2;18;21;30;11;27;17;
16;26;30;14;14;27;19;8;
0;3;1;5;23;8;16;2;
10;23;7;28;5;5;19;22;
11;19;25;0;3;18;4;15;
23;9;26;26;24;14;29;6;
20;25;4;24;19;10;14;24;
17;11;17;11;11;5;30;26;
12;24;17;11;21;10;19;30;
20;9;7;29;26;30;5;19;
25;19;12;7;14;11;22;23;
29;0;16;8;12;26;9;2;
7;24;28;7;7;6;23;17;
18;9;10;29;14;15;6;23;
29;5;6;12;5;5;21;14;
13;23;9;13;25;2;20;18;
28;19;9;9;18;27;5;14;
29;15;15;1;3;15;25;0;
18;18;30;7;29;23;27;20;
16;30;24;2;15;3;14;2;
5;26;11;22;9;13;0;11;
2;13;3;8;12;25;28;20;
14;18;7;30;27;1;30;22;
14;27;24;21;0;27;19;25;
8;2;23;5;28;16;28;1;
9;20;14;27;1;5;28;18;
0;26;17;17;19;15;13;2;
18;8;0;18;15;30;3;5;
16;25;16;23;8;4;6;8;
14;20;15;14;30;3;2;7;
18;29;15;28;27;10;6;23;
24;30;25;18;13;10;11;4;
30;6;21;5;26;17;25;5;
26;20;10;18;20;26;17;25;
24;1;22;11;9;0;0;22;
14;7;22;25;0;3;8;26;
27;3;18;22;23;0;7;13;
2;30;22;14;1;5;14;20;
19;30;11;15;27;16;25;11;
30;3;14;13;10;17;24;22;
5;20;30;9;6;28;4;7;
21;2;2;17;26;12;19;22;
29;11;7;30;26;14;12;13;
5;28;7;19;0;18;16;22;
20;14;6;12;2;26;21;12;
15;18;28;9;25;22;9;5;
1;19;21;18;10;2;20;5;
1;26;21;3;11;25;28;6;
18;5;23;19;7;21;8;6;
20;27;18;22;25;10;15;30;
23;7;2;25;2;0;24;27;
16;2;11;13;29;25;10;16;
8;28;28;25;8;4;11;1;
1;25;18;17;0;27;4;7;
4;0;27;8;25;17;7;5;
19;2;27;18;7;14;27;18;
27;15;22;12;12;23;14;4;
16;27;1;12;28;4;14;7;
8;29;25;16;30;25;22;1;
6;29;24;7;10;1;8;23;
17;17;16;20;16;9;16;23;
30;11;16;26;4;25;7;18;
10;14;23;21;14;10;16;29;
3;19;8;5;22;22;30;9;
12;27;13;9;29;25;6;1;
28;26;30;19;8;24;24;19;
13;4;21;21;27;12;30;22;
9;15;18;7;30;29;27;3;
21;19;3;9;7;12;0;5;
16;20;27;10;1;3;12;17;
21;17;12;28;21;17;9;15;
4;11;6;30;22;26;7;15;
7;3;5;21;13;18;15;0;
0;12;22;4;14;14;20;13;
4;19;8;20;24;9;21;25;
9;2;7;17;18;3;18;0;
25;5;22;17;6;6;27;28;
1;4;27;25;29;22;12;27;
21;21;0;13;13;14;22;26;
6;0;3;28;10;2;0;27;
29;22;24;20;22;7;4;16;
6;14;5;13;0;14;24;11;
26;20;17;8;1;9;0;25;
0;9;16;19;19;16;9;0;
12;22;3;2;30;27;9;18;
